"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","4603845900","67662840","263539","2903","103085","106718","1568","68.04","League of Legends"
"Hearthstone","2","Hearthstone","2476431300","10903620","331248","405","23170","57404","252","227.12","Hearthstone"
"Dota 2","3","Dota 2","2002361820","17786700","173538","879","25369","46415","412","112.58","Dota 2"
"Counter-Strike: Global Offensive","4","Counter-Strike: Global Offensive","1975738440","34479060","219844","1669","77914","45798","799","57.3","Counter-Strike: Global Offensive"
"Overwatch","5","Overwatch","1222707840","40585920","247288","2089","105104","28342","940","30.13","Overwatch"
"World of Warcraft","6","World of Warcraft","902739600","29965500","89235","1926","40077","20925","694","30.13","World of Warcraft"
"Z1: Battle Royale","7","Z1: Battle Royale","874360740","17334960","67772","651","26552","20267","401","50.44","Z1: Battle Royale"
"FIFA 17","8","FIFA 17","485516340","9006060","78113","505","24943","11254","208","53.91","FIFA 17"
"Talk Shows & Podcasts","9","Talk Shows & Podcasts","457967880","4225320","75991","203","13719","10615","97","108.39","Talk Shows & Podcasts"
"Minecraft","10","Minecraft","456391740","17067480","82474","943","47055","10579","395","26.74","Minecraft"
"Call of Duty: Infinite Warfare","11","Call of Duty: Infinite Warfare","383039580","9279180","75932","958","46444","8878","215","41.28","Call of Duty: Infinite Warfare"
"Destiny","12","Destiny","375831720","67587420","23631","4342","73505","8711","1566","5.56","Destiny"
"RuneScape","13","RuneScape","348490620","4329420","25677","170","6840","8078","100","80.49","RuneScape"
"Call of Duty: Modern Warfare Remastered","14","Call of Duty: Modern Warfare Remastered","319621560","6417120","74303","484","37998","7408","148","49.81","Call of Duty: Modern Warfare Remastered"
"Arma 3","15","Arma 3","314401020","5243040","45332","317","7467","7287","121","59.97","Arma 3"
"StarCraft II","16","StarCraft II","300015540","3053040","130773","135","4748","6954","70","98.27","StarCraft II"
"Creative","17","Creative","295786740","10628460","20777","404","20853","6856","246","27.83","Creative"
"Dead by Daylight","18","Dead by Daylight","278234220","7452960","22953","372","10247","6449","172","37.33","Dead by Daylight"
"Battlefield 1","19","Battlefield 1","274287300","23794980","41225","1297","70193","6358","551","11.53","Battlefield 1"
"World of Tanks","20","World of Tanks","252567060","6896340","45834","333","10411","5854","159","36.62","World of Tanks"
"Heroes of the Storm","21","Heroes of the Storm","252085740","6664620","86526","362","13519","5843","154","37.82","Heroes of the Storm"
"Pokémon Sun/Moon","22","Pokémon Sun/Moon","240629820","2398920","27214","352","2792","5577","55","100.31","Pokémon Sun/Moon"
"Tom Clancy's Rainbow Six: Siege","23","Tom Clancy's Rainbow Six: Siege","228644760","14890200","62002","929","41319","5300","345","15.36","Tom Clancy's Rainbow Six: Siege"
"Planet Coaster","24","Planet Coaster","216006660","2510640","57195","218","5702","5007","58","86.04","Planet Coaster"
"Final Fantasy XV","25","Final Fantasy XV","199978200","7229280","110368","3562","27428","4635","167","27.66","Final Fantasy XV"
