"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","4971161580","70758840","489683","2540","97370","115233","1640","70.25","League of Legends"
"Hearthstone","2","Hearthstone","3203440980","13325760","277440","843","26529","74256","308","240.39","Hearthstone"
"Dota 2","3","Dota 2","2942440020","17054340","671452","923","21427","68206","395","172.53","Dota 2"
"PLAYERUNKNOWN'S BATTLEGROUNDS","4","PLAYERUNKNOWN'S BATTLEGROUNDS","2774355660","50449620","143613","2120","64430","64310","1169","54.99","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Counter-Strike: Global Offensive","5","Counter-Strike: Global Offensive","2194155600","37834620","417435","1805","82803","50861","877","57.99","Counter-Strike: Global Offensive"
"Overwatch","6","Overwatch","1272001260","51478440","123529","2814","99965","29485","1193","24.71","Overwatch"
"Grand Theft Auto V","7","Grand Theft Auto V","925729620","16568220","146629","831","43573","21458","384","55.87","Grand Theft Auto V"
"IRL","8","IRL","642623100","7604100","58627","299","20962","14896","176","84.51","IRL"
"World of Warcraft","9","World of Warcraft","549352680","26209680","39841","1524","32234","12734","607","20.96","World of Warcraft"
"Destiny","10","Destiny","467463780","56657760","24898","2872","63558","10835","1313","8.25","Destiny"
"Z1: Battle Royale","11","Z1: Battle Royale","466886400","20562300","42479","896","30682","10822","476","22.71","Z1: Battle Royale"
"Casino_old","12","Casino_old","433605180","840240","23429","49","608","10051","19","516.05","Casino_old"
"Minecraft","13","Minecraft","390526320","15800220","55946","790","37623","9052","366","24.72","Minecraft"
"FIFA 17","14","FIFA 17","382990500","9189000","57931","515","22377","8877","213","41.68","FIFA 17"
"Heroes of the Storm","15","Heroes of the Storm","348645480","8299620","126179","718","15250","8081","192","42.01","Heroes of the Storm"
"Talk Shows & Podcasts","16","Talk Shows & Podcasts","323356980","3458760","85506","185","10493","7495","80","93.49","Talk Shows & Podcasts"
"RuneScape","17","RuneScape","298393440","5433180","32124","212","8119","6916","125","54.92","RuneScape"
"Creative","18","Creative","281383620","12948960","24435","561","22295","6522","300","21.73","Creative"
"Outlast 2","19","Outlast 2","279800160","4847400","212319","1589","18779","6485","112","57.72","Outlast 2"
"SMITE","20","SMITE","258501060","6668280","38214","298","11834","5992","154","38.77","SMITE"
"World of Tanks","21","World of Tanks","241986180","7097340","46388","355","9385","5609","164","34.1","World of Tanks"
"Tom Clancy's Rainbow Six: Siege","22","Tom Clancy's Rainbow Six: Siege","233810640","20112960","22865","998","44700","5419","466","11.62","Tom Clancy's Rainbow Six: Siege"
"StarCraft II","23","StarCraft II","231936540","3063420","37126","118","4442","5376","71","75.71","StarCraft II"
"Dark Souls III","24","Dark Souls III","229684500","10496580","23436","584","22938","5324","243","21.88","Dark Souls III"
"Path of Exile","25","Path of Exile","188423220","4959180","18980","204","5135","4367","114","37.99","Path of Exile"
