"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","5341493760","106478880","435859","4809","165074","119818","2388","50.16","League of Legends"
"Counter-Strike: Global Offensive","2","Counter-Strike: Global Offensive","4176208020","47053560","1298358","1978","125843","93678","1055","88.75","Counter-Strike: Global Offensive"
"PLAYERUNKNOWN'S BATTLEGROUNDS","3","PLAYERUNKNOWN'S BATTLEGROUNDS","3227634540","144327720","192427","5100","252217","72400","3237","22.36","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Fortnite","4","Fortnite","2756199960","141790860","196517","6418","302468","61825","3180","19.44","Fortnite"
"Hearthstone","5","Hearthstone","2103964140","14442660","286606","487","31766","47195","323","145.68","Hearthstone"
"Overwatch","6","Overwatch","1957253460","67086180","461851","2940","142342","43904","1504","29.18","Overwatch"
"IRL","7","IRL","1871001060","25965660","230845","1019","75863","41969","582","72.06","IRL"
"Dota 2","8","Dota 2","1855286040","24594480","182289","909","34045","41617","551","75.44","Dota 2"
"Sea of Thieves","9","Sea of Thieves","868494840","4784160","261898","900","11327","19481","107","181.54","Sea of Thieves"
"Grand Theft Auto V","10","Grand Theft Auto V","776212560","23048520","59852","1045","58405","17411","517","33.68","Grand Theft Auto V"
"Monster Hunter: World","11","Monster Hunter: World","740393160","13561920","169921","2525","56100","16608","304","54.59","Monster Hunter: World"
"World of Warcraft","12","World of Warcraft","727679700","38037060","111552","2219","49035","16323","853","19.13","World of Warcraft"
"FIFA 18","13","FIFA 18","615387720","11816520","143683","959","37800","13804","265","52.08","FIFA 18"
"They Are Billions","14","They Are Billions","601198500","6902100","96057","386","12514","13485","154","87.1","They Are Billions"
"Escape From Tarkov","15","Escape From Tarkov","449167140","13606920","58348","557","16618","10075","305","33.01","Escape From Tarkov"
"Slay the Spire","16","Slay the Spire","358783020","3736140","46147","213","7848","8048","83","96.03","Slay the Spire"
"Heroes of the Storm","17","Heroes of the Storm","346434060","9138360","33498","317","15462","7771","204","37.91","Heroes of the Storm"
"Tom Clancy's Rainbow Six: Siege","18","Tom Clancy's Rainbow Six: Siege","328995000","32763900","50325","1372","91977","7379","734","10.04","Tom Clancy's Rainbow Six: Siege"
"VRChat","19","VRChat","308030820","5457600","47621","285","15187","6909","122","56.44","VRChat"
"Subnautica","20","Subnautica","298948740","5750700","60950","548","13074","6705","128","51.98","Subnautica"
"Dead by Daylight","21","Dead by Daylight","284257500","13953360","41918","885","23369","6376","312","20.37","Dead by Daylight"
"RuneScape","22","RuneScape","280834800","7256940","32178","273","10193","6299","162","38.7","RuneScape"
"Call of Duty: WWII","23","Call of Duty: WWII","280775940","11404620","65238","547","73873","6298","255","24.62","Call of Duty: WWII"
"Talk Shows & Podcasts","24","Talk Shows & Podcasts","260211000","2699280","51352","151","8894","5836","60","96.4","Talk Shows & Podcasts"
"Dragon Ball FighterZ","25","Dragon Ball FighterZ","252120180","6096480","50130","1894","23980","5655","136","41.36","Dragon Ball FighterZ"
