"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"World of Warcraft","1","World of Warcraft","5389270740","135843540","376038","7890","126563","124925","3148","39.67","World of Warcraft"
"League of Legends","2","League of Legends","4654750560","118653360","650591","4454","182545","107898","2750","39.23","League of Legends"
"Just Chatting","3","Just Chatting","3830134980","58274280","245697","2777","148818","88783","1350","65.73","Just Chatting"
"Fortnite","4","Fortnite","3626506080","211260720","329388","9472","406624","84063","4897","17.17","Fortnite"
"Counter-Strike: Global Offensive","5","Counter-Strike: Global Offensive","2760470220","54873840","659147","2416","138048","63988","1271","50.31","Counter-Strike: Global Offensive"
"Grand Theft Auto V","6","Grand Theft Auto V","2369337120","38638680","162573","1836","67389","54922","895","61.32","Grand Theft Auto V"
"Dota 2","7","Dota 2","1551278220","26946180","126517","1269","34090","35959","624","57.57","Dota 2"
"Minecraft","8","Minecraft","1415346780","60627000","176485","2955","164966","32808","1405","23.35","Minecraft"
"Overwatch","9","Overwatch","1312024920","42331800","321314","1717","92814","30413","981","30.99","Overwatch"
"FIFA 20","10","FIFA 20","1117213080","11665440","183987","2047","29956","25897","270","95.77","FIFA 20"
"PLAYERUNKNOWN'S BATTLEGROUNDS","11","PLAYERUNKNOWN'S BATTLEGROUNDS","1103671320","50013360","67780","1825","73390","25583","1159","22.07","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Hearthstone","12","Hearthstone","998819640","5939040","64916","323","11793","23152","137","168.18","Hearthstone"
"Borderlands 3","13","Borderlands 3","996777180","46820040","219838","7217","74034","23105","1085","21.29","Borderlands 3"
"Teamfight Tactics","14","Teamfight Tactics","937602180","16759620","122332","636","42174","21733","388","55.94","Teamfight Tactics"
"Slots","15","Slots","933289620","4131600","200521","174","4046","21633","95","225.89","Slots"
"Apex Legends","16","Apex Legends","882283440","64926720","88868","2931","124810","20451","1505","13.59","Apex Legends"
"Call Of Duty: Modern Warfare","17","Call Of Duty: Modern Warfare","731625480","26093760","292025","7316","87551","16959","604","28.04","Call Of Duty: Modern Warfare"
"Tom Clancy's Rainbow Six: Siege","18","Tom Clancy's Rainbow Six: Siege","654081000","51249600","84705","2438","130459","15161","1187","12.76","Tom Clancy's Rainbow Six: Siege"
"Special Events","19","Special Events","532449300","897660","468944","811","3287","12342","20","593.15","Special Events"
"Dead by Daylight","20","Dead by Daylight","530424240","29274900","50535","1606","49968","12295","678","18.12","Dead by Daylight"
"Monster Hunter: World","21","Monster Hunter: World","508033200","16952760","75752","1113","22900","11776","392","29.97","Monster Hunter: World"
"NBA 2K20","22","NBA 2K20","439259280","19622220","57229","3034","34395","10182","454","22.39","NBA 2K20"
"Path of Exile","23","Path of Exile","438900360","12645600","77271","2171","12476","10173","293","34.71","Path of Exile"
"Call of Duty: Black Ops 4","24","Call of Duty: Black Ops 4","345463500","31930920","75170","1675","59590","8007","740","10.82","Call of Duty: Black Ops 4"
"Magic: The Gathering","25","Magic: The Gathering","299441940","3949620","39180","338","7116","6941","91","75.82","Magic: The Gathering"
