"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","5979472140","177201900","349964","8083","237426","134129","3974","33.74","League of Legends"
"Just Chatting","2","Just Chatting","5302698120","84589200","631876","2959","214185","118947","1897","62.69","Just Chatting"
"Escape From Tarkov","3","Escape From Tarkov","4341378480","62581680","287491","2376","60579","97383","1403","69.37","Escape From Tarkov"
"Fortnite","4","Fortnite","3223892940","263997240","595541","11303","502688","72317","5921","12.21","Fortnite"
"Dota 2","5","Dota 2","2641512480","26521440","364279","1055","30616","59253","594","99.6","Dota 2"
"Grand Theft Auto V","6","Grand Theft Auto V","2558810400","56182020","157557","2520","110069","57398","1260","45.55","Grand Theft Auto V"
"Counter-Strike: Global Offensive","7","Counter-Strike: Global Offensive","2033597160","73060680","257488","3371","168202","45616","1638","27.83","Counter-Strike: Global Offensive"
"World of Warcraft","8","World of Warcraft","1653790860","56441220","167799","4077","59799","37097","1266","29.3","World of Warcraft"
"FIFA 20","9","FIFA 20","1427251320","21285660","365896","1693","49934","32015","477","67.05","FIFA 20"
"Hearthstone","10","Hearthstone","1273377180","9783660","62503","405","16330","28563","219","130.15","Hearthstone"
"PLAYERUNKNOWN'S BATTLEGROUNDS","11","PLAYERUNKNOWN'S BATTLEGROUNDS","1138423980","51386340","65714","1831","78410","25536","1152","22.15","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Minecraft","12","Minecraft","1122464220","50574840","181623","2151","142141","25178","1134","22.19","Minecraft"
"Path of Exile","13","Path of Exile","877784040","16971300","52746","697","17101","19690","380","51.72","Path of Exile"
"Overwatch","14","Overwatch","868572240","49034100","53847","1706","91877","19483","1099","17.71","Overwatch"
"Apex Legends","15","Apex Legends","825465720","76248900","41996","3193","132964","18516","1710","10.83","Apex Legends"
"Tom Clancy's Rainbow Six: Siege","16","Tom Clancy's Rainbow Six: Siege","705857640","59017740","54126","2483","138979","15833","1323","11.96","Tom Clancy's Rainbow Six: Siege"
"Dead by Daylight","17","Dead by Daylight","613389420","31541040","30565","1219","50373","13759","707","19.45","Dead by Daylight"
"Slots","18","Slots","590714940","3940680","73865","166","3376","13250","88","149.9","Slots"
"Monster Hunter: World","19","Monster Hunter: World","552132840","19189560","66169","1196","25265","12385","430","28.77","Monster Hunter: World"
"DRAGON BALL Z: KAKAROT","20","DRAGON BALL Z: KAKAROT","549710580","14738280","115615","2157","29163","12330","330","37.3","DRAGON BALL Z: KAKAROT"
"Call Of Duty: Modern Warfare","21","Call Of Duty: Modern Warfare","541663380","49489980","85708","2482","166150","12150","1110","10.94","Call Of Duty: Modern Warfare"
"Teamfight Tactics","22","Teamfight Tactics","538745220","12004920","28666","525","28138","12084","269","44.88","Teamfight Tactics"
"Destiny 2","23","Destiny 2","402547020","25009080","157168","1027","41292","9029","560","16.1","Destiny 2"
"The Witcher 3: Wild Hunt","24","The Witcher 3: Wild Hunt","376978140","13433700","40643","700","30165","8456","301","28.06","The Witcher 3: Wild Hunt"
"Rocket League","25","Rocket League","340761960","22753260","54967","953","75446","7643","510","14.98","Rocket League"
